number,crn,name,days,time,room,instructor,avail_max,desc,gen_ed
AMST 294-04,10848,"Jazz Advance: Structure, Power, and Affirmation",T R,09:40 am-11:10 am,MUSIC 219,Randy Bauer,4 / 25,"The release of jazz pianist Cecil Taylor's 1956 debut album, ""Jazz Advance"", established yet another artistic benchmark – experimental, virtuosic, individually and collectively expressive – that subsequent jazz musicians would need to reach, and surpass.   Jazz history is full of such threshold moments, as each generation continued to elevate jazz – and thus the entire diaspora of Black America – to new artistic and socially progressive heights.  This course will trace the advancement of jazz from a regional articulation of African-American culture (New Orleans at the turn of the twentieth century), to a diverse international phenomenon, one whose fundamental thrust has served as a foil to prevailing white hegemony.  There are three basic aims: (1) a general historical survey of jazz's development, through primary source and scholarly readings, (2) an analysis of the stylistic evolution of jazz through the study of repertoire and recordings, and (3) critical analysis of race, gender, and cultural conflict throughout the ongoing legacy of what has been called one of America's great musical art forms.  The course will be mildly technical, with some use of printed music, but mainly designed to be accessible to students of all musical backgrounds.  A particular emphasis is placed on listening; students will become familiar by ear with a wide variety of jazz repertoire, artists, and styles.",U.S. Identities and Differences
AMST 308-01,10672,Introduction to U.S. Latinx Studies,M W F,10:50 am-11:50 am,HUM 212,Alicia Munoz,4 / 15,"This course provides an interdisciplinary discussion of the Latino experience in the United States with a focus on Mexican, Puerto Rican, Dominican, and Cuban- Americans. Using fiction, poetry, films and critical essays, we will examine issues of race and ethnicity, language, identity, gender and sexuality, politics, and immigration. This course satisfies the Area 2 requirement for the Spanish major. Prerequisite(s): SPAN 305 or SPAN 306",U.S. Identities and Differences
AMST 394-01,10010,Building Partnerships: Junior Seminar in Civic Engagement,M,07:00 pm-10:00 pm,THEATR 201,Karin Aguilar-San Juan,8 / 16,"Designed as a “practicum” (cohort study +  internship), the Fall 2022 Junior Seminar will focus on three themes: public health, environmental justice, and prison abolition. Two core concepts from American Studies– interdisciplinarity and ethical community partnerships–will connect and ground those themes. Through reading, reflection, discussion, and writing, we will explore the interactions across academic knowledge; self & community knowledge; work styles and communication; and what it means to “care” about an issue. In-class, side-by-side encounters with alumni and mentors from the internship sites will spur conversation on social change, career discernment, navigating resources, and stewarding relationships. The seminar will meet on Monday nights. During the night class, we will reflect on, write about, and contextualize your internship experiences; we will also meet with community leaders and alumni who will provide career advice and help you to plan for the future. This course requires concurrent registration in a 2-credit internship, which will satisfy the internship requirement for the American Studies major. Over the course of 10 weeks, you will spend 8 additional hours a week at your internship, for which you will receive 2 additional credits (for a total of 80 hours).",
AMST 400-01,10011,Senior Seminar,T R,09:40 am-11:10 am,HUM 217,Duchess Harris,5 / 16,The Senior Capstone is required of all majors. Majors who meet college criteria are encouraged to conduct an honors project in conjunction with their Senior Capstone.,
ANTH 101-01,10012,General Anthropology,M W F,08:30 am-09:30 am,CARN 06A,Scott Legge,0 / 30,"This course is an introduction to the discipline of anthropology as a whole. It presents students with a theoretical grounding in the four major subfields: archaeology, biological anthropology, cultural anthropology, and linguistics. In this class the emphasis is on the holistic nature of the discipline. Students will be challenged with some of the countless links between the systems of biology and culture. They will explore key questions about human diversity in the past, present, and future. Prerequisite(s): Not open to students who've taken ANTH 111.","Writing WP
                    Internationalism"
ANTH 111-01,10013,Cultural Anthropology,M W F,10:50 am-11:50 am,CARN 06A,Hilary Chart,3 / 30,"The cultural perspective on human behavior including case studies, often illustrated by ethnographic films and slides, of non-Western and American cultures. May include some field interviewing. Includes the cross cultural treatment of economic, legal, political, social and religious institutions and a survey of major approaches to the explanation of cultural variety and human social organization. Prerequisite(s): Not open to students who've taken ANTH 101.","Writing WP
                    Internationalism OR U.S. Identities and Differences"
ANTH 111-02,10894,Cultural Anthropology,M W F,02:20 pm-03:20 pm,MAIN 009,Jenna Rice Rahaim,1 / 30,"The cultural perspective on human behavior including case studies, often illustrated by ethnographic films and slides, of non-Western and American cultures. May include some field interviewing. Includes the cross cultural treatment of economic, legal, political, social and religious institutions and a survey of major approaches to the explanation of cultural variety and human social organization. Prerequisite(s): Not open to students who've taken ANTH 101.",Internationalism OR U.S. Identities and Differences
ANTH 194-01,10901,Introduction to Psychological Anthropology,M W F,01:10 pm-02:10 pm,CARN 06B,Eva Corsiglia-Melstrom,3 / 24,"In this course we will examine the early foundations and historical development of the field of psychological anthropology. Psychological anthropology can most simply be understood as a field of study that looks to investigate the ways in which individual experience on the one hand, and cultural meaning on the other, interrelate. Students will read and discuss Freud, Benedict, Sapir, Hallowell, Rosaldo, and Lutz, along with other recent central figures.",
ANTH 194-F1,10014,Food and Culture,M W F,08:30 am-09:30 am,CARN 06B,Arjun Guneratne,1 / 18,Varies by semester. Consult the department or class schedule for current listing.,"Writing WA
                    Internationalism"
ANTH 206-01,10393,Endangered/Minority Languages,M W F,09:40 am-10:40 am,ARTCOM 202,Marianne Milligan,1 / 20,"Language loss is accelerating at alarming rates. In fact, Linguists predict that only five percent of the six thousand languages currently spoken in the world are expected to survive into the 22nd century. In this course, we will examine the historical, political, and socio-economic factors behind the endangerment and/or marginalization of languages in Africa, Asia, Australia, Europe, and North and South America. We will also concentrate on the globalization of English (and other major languages), which plays a primary role in language endangerment and marginalization. Additional topics include: linguistic diversity, language policy, multilingualism (in both nations and individuals), global language conflict, and language revitalization. Students will have the opportunity to learn first-hand about these issues by interviewing speakers of an endangered and/or minority language.","Writing WA
                    U.S. Identities and Differences"
ANTH 230-01,10015,Ethnographic Interviewing,M W F,01:10 pm-02:10 pm,CARN 05,Arjun Guneratne,8 / 16,An introduction to ethnographic field interviewing learned in the context of individually run student field projects. Focuses on the anthropologist-informant field relationship and the discovery of cultural knowledge through participant observation and ethnosemantic interviewing techniques. Prerequisite(s): ANTH 101 or ANTH 111 or permission of instructor.,Writing WA
ANTH 239-01,10016,Medical Anthropology,T R,01:20 pm-02:50 pm,CARN 06A,Eva Corsiglia-Melstrom,4 / 24,"This course examines issues of health, illness, and healing from a variety of anthropological perspectives. From a cross-cultural perspective, we will examine the diversity of beliefs about human health and sickness, and a variety of healing practices by which people treat them. From the perspective of critical epidemiology, we will wrestle with recurrent problems of socioeconomic inequalities, ecological disruptions, and their impact upon the differential distribution, prevention, and treatment of human diseases. Previous courses in anthropology are recommended but not required.",
ANTH 258-01,10017,Dynamic Africa,T R,09:40 am-11:10 am,OLRI 270,Hilary Chart,17 / 24,"Africa has long been a continent on the move. This course introduces students to concepts associated with systems, process, and change in Africa by juxtaposing classic and contemporary ethnography that aims to get at how lives, subjectivities, and intimacies on the continent mediate and are shaped by global historical processes and how anthropologists have inhabited and tried to grasp such contexts. Toward this end, we draw on diverse representations of Africa that include fiction, film, and more traditional forms of scholarship. Prerequisite(s): ANTH 101 or ANTH 111.",Internationalism
ANTH 335-01,10385,Global Generosity,M W F,03:30 pm-04:30 pm,MAIN 009,Jenna Rice Rahaim, Closed -1 / 20,"From Italian Mafia dons to famous American philanthropists; from the knitting of ""trauma teddies"" in Helsinki to gift shopping in London; and from ceremonial exchange rings in Melanesia to the present day global refugee crisis: this course will investigate how generosity is understood and practiced in global perspective. We'll begin the semester by examining key debates surrounding reciprocity, gifts, and exchange, theories of altruism and generosity, and patron-client relations. We'll then explore the birth of the ""humanitarian spirit,"" and the complicated ethics and politics of humanitarian intervention. We will compare diverse religious traditions' approaches to giving, including Islam, Christianity, Hinduism, and Jainism. And we'll explore contemporary debates surrounding volunteerism within sectarian and neoliberal political regimes.",Internationalism
ANTH 340-01,10018,Human Evolution,T R,09:40 am-11:10 am,CARN 06B,Scott Legge,11 / 16,"An exploration of the interaction between ecology, morphology, and culture in human evolution. Topics include the evolutionary adaptation of non-human primates and hominins to their various ecological and social environments, taxonomic classification systems, and techniques used in the analysis of primate fossils to help determine both their geological age and phylogenetic placement. Prerequisite(s): ANTH 112, or ANTH 115, or ANTH 240 or permission of instructor.",
ANTH 369-01,10019,Food and Culture,M W F,09:40 am-10:40 am,CARN 06B,Arjun Guneratne,14 / 20,"This course is an introduction to the anthropology of food, focusing on how food creates community and shapes identity, class and gender. The course also covers the transition from foraging to agriculture, the role of particular foods in the making of the modern world, and the nature of the modern industrial food system. Prerequisite(s): ANTH 101 or ANTH 111.","Writing WA
                    Internationalism"
ANTH 394-01,10830,Ritual,T R,01:20 pm-02:50 pm,THEATR 101,Erik Davis,4 / 16,"The word “ritual” is used in many contexts to refer to types of practice that are considered centrally important, as well as formalistic and repetitive. This seminar-style course concentrates on the concept of ritual as a central component of social practice, within and without religious groupings. Focusing on developing the concept of ritual, we will focus on ritual across traditions. This requires students to ‘work with’ concepts - forming a conception of what they mean by ritual, and be willing to change that conception when faced with contradictory evidence.",Writing WA
ANTH 394-02,10834,Visual Storytelling: Researching with Digital and Visual Materials and Creating Visual Narratives,T R,09:40 am-11:10 am,OLRI 300,Rupak Shrestha, Closed 0 / 15,"Central to research is storytelling. This course provides the theoretical and methodological toolkits that students will use to conduct visual research in Geography and the Social Sciences. Drawing on Gillian Rose’s Visual Methodologies, the course surveys topics including research ethics, visual culture, discourse analysis, digital methods, participant observation and community-based research practices, and visual representation. Students will develop skills to observe, record, and analyze issues and processes in the local community in the Twin Cities through semester-long visual research projects by making still (photography) and moving (film) images. In addition, students will work on individual and group projects for hands-on experience on other digital methods. There are no prerequisites for this course and no prior background knowledge in visual methods or tools are required.",
ART 130-01,10021,Drawing I,M W,08:30 am-11:40 am,ART 302,Megan Vossler, Closed 0 / 15,"This course is an introduction to fundamental drawing materials and techniques. Students explore a variety of themes and subjects, including still life, architecture, figure drawing, portraiture, and imagination. Formal elements covered include: line, value, volume, space, proportion, perspective, mark-making, and composition. Context for assignments is given through frequent discussion of both historical and contemporary artworks. In group critiques and discussions, we consider composition, representational accuracy, creative expression, content, and intention.",
ART 130-02,10022,Drawing I,M W,01:10 pm-04:20 pm,ART 302,Joe Sinness,0 / 15,"This course is an introduction to fundamental drawing materials and techniques. Students explore a variety of themes and subjects, including still life, architecture, figure drawing, portraiture, and imagination. Formal elements covered include: line, value, volume, space, proportion, perspective, mark-making, and composition. Context for assignments is given through frequent discussion of both historical and contemporary artworks. In group critiques and discussions, we consider composition, representational accuracy, creative expression, content, and intention.",
ART 131-01,10023,Ceramics I,M W F,09:40 am-11:40 am,ART 113,Summer Hills-Bonczyk,1 / 14,"This introductory course will provide a supportive studio environment for the exploration of diverse approaches to the ceramic field, ranging from investigation of utilitarian object making to sculptural practice. Techniques and applications for both handbuilding and wheel throwing will be presented. Emphasis is placed on development and understanding of strong three-dimensional forms as well as the relationship with surface decoration. Content-based assignments allow for individual expression through creative problem solving. The course goal is to present students with a historical perspective and the understanding of contemporary ceramics, building an appreciation for the spirit of the handmade object as well as preparing students for upper level self-directed work. Lectures, demonstrations, critiques and gallery/museum visits will supplement studio work. Learning will be assessed primarily through portfolio production and review, along with class participation. Three two-hour periods per week. $100 materials fee is required.",
ART 149-01,10024,Introduction to Visual Culture,M W F,09:40 am-10:40 am,ARTCOM 102,Serdar Yalcin, Closed 4 / 25,"This course examines material and symbolic practices through myriad visual culture forms, from standards of fine art such as painting and sculpture to mass media including TV, film, advertising, and the Internet. Students will learn different theoretical paradigms and techniques for visual analysis in order to understand how visual culture mediates numerous social, economic, cultural and political relationships. We will investigate these diverse practices through lectures, guest speakers, film, historical art and media and, of course, those proliferating images that define our daily experiences. Offered every Fall.",
ART 160-01,10025,Introduction to Art History I: From Prehistory to the Medieval Period,M W F,12:00 pm-01:00 pm,ARTCOM 102,Serdar Yalcin, Closed -5 / 25,"​This course surveys the visual and material culture of Europe, the Middle East and the broader Mediterranean world from prehistory through the late Medieval period, including early Christian, Jewish and Islamic cultures. We consider the artistic and archaeological remains from the Near East, Egypt, the Aegean, Greece, Etruria, Rome, and western Europe from a contextual perspective in order to understand each culture's ideologies, and the diverse social and artistic purposes for which art and architecture was created and used.",
ART 170-01,10027,Introduction to the Art of China,M W F,01:10 pm-02:10 pm,ARTCOM 102,Kari Shepherdson-Scott,-1 / 25,"This course examines the art and visual culture of China from the Neolithic era to the twenty-first century. Lectures and readings will teach methods of formal visual analysis as well as provide the opportunity for students to think critically about how scholars write the artistic history of the region. Through this class, students will engage with a broad array of media, from jade carvings, Buddhist cave painting, architecture, calligraphy and monumental landscape paintings to ceramics, imperial palaces, and contemporary installations. While examining the intended meanings and functions of these objects and spaces, we will discuss the varied contexts and value systems that have informed visual production in China.",Internationalism
ART 233-01,10029,Photography I,M W F,09:40 am-11:40 am,ART 301,Mara Duvra,4 / 16,"This course introduces the conceptual, technical, and historical aspects of photography within a fine-arts context. The emphasis throughout is on photography as a creative and expressive medium and will introduce strategies and methods related to this goal through assignments and class activities. Students will learn the foundational aspects of digital photography from manual camera operation to the editing of images through Adobe Lightroom and Photoshop. Along the way, students will be introduced to the digital workflow, the critique process, and how to take their images from screen to print. Presentations and assigned readings will help students develop the critical and creative skills needed to understand how artistic photographs function in society and culture. $75 materials fee charged for course to cover printer paper and ink. Note: A digital SLR camera is required for this course--students may be able to rent one from the department on a first-come, first-served basis.",
ART 234-01,10030,Painting I,T R,08:00 am-11:10 am,ART 308,Chris Willcox, Closed 3 / 13,"An introduction to the studio practice of painting, using oil paint on a variety of supports ranging from paper, board and canvas to non-traditional painting surfaces. Exploration of the practical techniques and mechanics of painting as well as a consideration of content and meaning will be studied. Topics that will be studied include: paint-mixing, color matching, composition, design and a variety of painting styles. Readings and class discussions of historical and contemporary painting practices and issues will develop a visual vocabulary as well as critical/theoretical knowledge to complement technical skills. Lectures, demonstrations, critiques and a gallery/museum visit will supplement studio work.",
ART 234-F1,10031,Painting I,T R,01:20 pm-04:30 pm,ART 202,Chris Willcox,0 / 14,"An introduction to the studio practice of painting, using oil paint on a variety of supports ranging from paper, board and canvas to non-traditional painting surfaces. Exploration of the practical techniques and mechanics of painting as well as a consideration of content and meaning will be studied. Topics that will be studied include: paint-mixing, color matching, composition, design and a variety of painting styles. Readings and class discussions of historical and contemporary painting practices and issues will develop a visual vocabulary as well as critical/theoretical knowledge to complement technical skills. Lectures, demonstrations, critiques and a gallery/museum visit will supplement studio work.",
ART 235-01,10032,Sculpture I,M W F,09:40 am-11:40 am,ART 118,Lela Pierce, Closed 0 / 15,"This hands-on studio class serves as an introduction to the rich and diverse field of inquiry we call sculpture. Over the course of the semester we will investigate a variety of concepts, materials, and fabrication methods employed in the realization of sculptural works. Examples of fabrication methods may include basic woodworking techniques, carving, basic sewing techniques, ""non-traditional"" techniques, and others. The early part of the semester is devoted to brief exercises that introduce materials, processes, techniques, tools/equipment, and ways of thinking/unthinking. The latter part of the semester is devoted to fully realized individual projects. Final projects are self-assigned and self-directed via prompts. In addition to the formal and spatial aspects of the sculptures we create, we will consider their symbolic, sociopolitical, ethical, material, and tactile dimensions. Slide presentations, short readings, critiques, group discussions, and gallery/museum visits supplement our studio research. The goal of this class is to conduct a serious and sustained - yet playful - inquiry into the question of sculpture while nurturing individual expression. This class is appropriate for any and all curious students interested in play, thinking with the hands, and reflecting on the results. $150 materials fee charged.",
ART 236-01,10033,Printmaking I,T R,01:20 pm-04:30 pm,ART 214,Ruthann Godollei, Closed 1 / 15,"A hands-on introduction to original printmaking in the media of relief, intaglio, lithography and handset type. Included are discussions of esthetics, the impact of printed imagery on society, the political power of prints, printmaking practices from diverse cultures and from around the world. Learn hand printing technologies as well as use of printing presses and tools in the service of developing your ideas in printed form. Trips to local exhibits and museums frame contemporary and historic understanding of the field. Emphasis is on personal expression and appropriate techniques for the content. Students edition one print at the end of the semester to trade in a portfolio with classmates. Students will be required to purchase some class materials from an art store. Contact the instructor directly for more information.",
ART 239-01,10034,2-D Design,M W F,01:10 pm-03:10 pm,ART 301,Mara Duvra,3 / 16,"In this foundations course we explore the fundamentals of two-dimensional design through a series of hands-on and digital projects. Topics such as the design process, pattern development and application, typography and branding are explored through both fine-art and commercial design projects. Demonstrations, presentations, and artist talks are included in addition to lab time and class discussions.  Students will finish the semester with a sketchbook full of ideas, a self-directed final project, and a well-rounded design portfolio. Software introduced includes Adobe Illustrator, Photoshop, and InDesign. Three two-hour periods per week.",
ART 253-01,10035,"Transnational Surrealism: Art, Photography, and Film",T R,01:20 pm-02:50 pm,ARTCOM 102,Joanna Inglot,-1 / 20,"Founded by poets, writers, artists, photographers, and filmmakers in Paris in the early 1920s, Surrealism quickly spread to many corners of the globe. By 1929, when the Surrealist Map of the World was published, France had disappeared, the US and Canada were removed, and the Pacific Ocean became the center of the world. The Surrealists' map drew attention to many other important places in the world -- Mexico, Latin America, the Caribbean, and Africa--where different forms of the Surrealist imaginary flourished, shaping identities and seeking liberation from diverse forms of oppression. Examining art, film, and theoretical perspectives that framed surrealist goals and practices. from the 1920s to the late 1960s, this course will address various topics central to the movement, such as amour fou (mad love), convulsive beauty, the fantastic, the uncanny, madness, black humor, magic andoccult, Négritude, and Afro-Surrealism.",Internationalism
ART 263-01,10036,Modern Art,T R,09:40 am-11:10 am,ARTCOM 102,Joanna Inglot,4 / 20,"This course will examine the key developments of the modernist period in visual arts, tracing different avant-garde practices and the key players in art movements such as Fauvism, Cubism, Futurism, German Expressionism, Dada, Surrealism, Abstract Expressionism as well as Minimalism and Pop Art, and analyze them in the context of philosophical, artistic, social and political developments. These include the catastrophes of World War I and World War II, and the ever-increasing powers of capitalism and mass culture. Throughout the semester, we will look at modernism from multiple perspectives, critically examining its ""master narratives"" and re-evaluating its various ""oversights"" with regards to class, ethnicity, race, and gender. We will discuss how the tropes of Orientalism and Primitivism functioned within the modernist discourse and consider tensions between nationalism/ internationalism/cosmopolitanism as well as ""avant-garde"" and popular/mass culture.","Writing WA
                    Internationalism"
ART 267-01,10037,3-D Design,T R,08:00 am-11:10 am,ART 118,Lela Pierce, Closed -1 / 15,"This hands-on, studio class serves as an introduction to the fundamentals of organizing forms in three dimensions. Over the course of the semester we will work both independently and collaboratively to solve basic formal and spatial problems encountered in fields such as sculpture, architecture, and industrial design. We will develop a technical working vocabulary and think critically about the formal, spatial, structural, tactile, and ethical dimensions of the forms we create. This class is appropriate for any and all curious students interested in design, thinking with the hands, and reflecting on the creative process. Slide presentations, short readings, critiques, group discussions, and gallery/museum visits will supplement our studio research.",
ART 271-01,10038,Japan and the (Inter)National Modern,M W F,10:50 am-11:50 am,ARTCOM 102,Kari Shepherdson-Scott,4 / 20,"This course introduces students to the art and visual culture of Japan from the late nineteenth century through the mid-twentieth century, a period of Japanese history marked by dramatic cultural, political, and social change.  The class focuses primarily on the visual arts from the 1850s to 1945, a time when modernism and modernity were seen (by some) as empowering and (by others) as a threat to foundations of national identity; we will also consider artistic practices in the postwar era to understand the ""crisis of the modern"" that developed in the first decades after the war as artists struggled to find their individual and national voices. Drawing on a diverse array of artistic forms and visual media, including painting, prints, sculpture, architecture, anime (Japanese cartoons), film, photography, advertising design, and manga (Japanese comics), we explore themes such as trauma, nationalism, imperialism, fascism, protest, hybridity, fantasy, embodiment, and performativity. Students will be asked to consider critically how these works operated as a part of international flows in art, design, and consumerism as well as how they contributed to evolving modern identities in Japan.","Writing WA
                    Internationalism"
ART 280-F1,10040,Art and Architecture of Ancient Egypt,T R,03:00 pm-04:30 pm,ARTCOM 102,Serdar Yalcin,0 / 16,"This course explores the making and function of art and architecture in ancient Egypt along with its socio-economic and political context from pre-dynastic times (ca. 5300 - 3000 BCE) to the Roman era (30 BCE - 391 CE). The lectures and class discussions will focus on concepts of design, representation and aesthetics in Egypt, and explore the uses of art objects and monuments in politics, religion, private and state cults, and burial practices. Addressing topics such as pharaonic ideology, imperialism, gender, and afterlife, this course will help students comprehend the fundamental place of art and visual culture in the creation and sustenance of one of the oldest civilizations in the world.",Writing WA
ART 294-01,10041,Land/Water,M W,08:00 am-09:30 am,ART 308,"MacGregor, Willcox", Closed 0 / 22,"This course will be comprised of both lecture-based and on-site components, and course material will guide students through the historical and contemporary examples of Landscape as a site for scientific and artistic investigation and exploration. Within the broad topic of Landscape, faculty will cover the sub topic of water and how the scientific research and art practice around the topic have led to a greater cultural and political understanding of how water is seen as a resource and site of inspiration. Topics related to the theme of water will include climate change, flooding, the global refugee crisis, migration, the Atlantic slave trade, and human manipulation of water-rich and arid region landscapes, among others.  The course will include multiple local outdoor field trips and an overnight trip (either camping or in a rustic environmental learning center), where students will take field measurements, work in their nature journals where they will sketch, paint and learn to visually explore the natural world. These journals will also reflect the scientific practice of field note-taking and data gathering. Students will also use low-stakes writing to demonstrate knowledge and explore connections, especially across disciplinary boundaries.  We will also explore the methodologies used to gain knowledge in art and science, and consider advantages and challenges to taking multi-disciplinary approaches to exploring landscapes. Readings will come from a wide range of disciplines, including scientific and nature writings, creative writing, journalism/news stories, and creative critiques.  Students will learn about how science and art have successfully brought the natural world into focus over the last centuries and while the methodologies of the two disciplines vary, taken together, they can enhance our understanding of numerous topics that are socially, politically and culturally relevant today.",
ART 294-02,10043,Pop Art International,W,01:10 pm-04:10 pm,ARTCOM 202,Joanna Inglot,3 / 16,"Emerging in the late 1950s, Pop Art radically redefined approaches to contemporary art and became emblematic of a cultural revolution that unfolded during the turbulent decades of the 1960s and 1970s. In traditional accounts of art history, however, Pop Art features as a primarily American phenomenon created by male artists such as Andy Warhol, Tom Wesselmann, and Roy Lichtenstein. But the movement spread around the globe, encompassing many artists (including women) who responded to the rise of consumer culture, popular media, and imperialism .In this course we will significantly expand the frame of Pop Art by analyzing works by artists from France, Italy, Germany, South America, Japan, and Eastern Europe. We will also trace feminist responses to Pop Art and trace the legacy of Pop Art today in the works of Jeff Koons, Takashi Murakami, Damien Hirst, and the ”Young British Artists.” Throughout the course we will listen to pop music and watch films by Jean-Luc Godard and Michelangelo Antonioni as well as look at Pop psychedelia and comics.",Internationalism
